TICKER,NAME,LEI,CIK,LATEST_FILING_DATE
AAPL,Apple Inc,HWUPKR0MPOU8FGXBT394,0000320193,2019-07-31
AXP,American Express Co,R4PP93JZOLY261QX3811,0000004962,2019-07-23
BA,Boeing Co,RVHJWBXLJ1RFUBSY1F30,0000012927,2019-07-24
CAT,Caterpillar Inc,WRJR7GS4GTRECRRTVX92,0000018230,2019-08-01
CSCO,Cisco Systems Inc,8E6NF1YAL0WT6CWXXV93,0000858877,2019-09-05
CVX,Chevron Corp,,0000093410,2019-08-07
DIS,"Walt Disney Co, The",7260JQNI6SCF9FIV2392,0001744489,2019-08-06
GE,General Electric Co,3C7474T6CDKPR9K6YT90,0000040545,2019-07-31
GS,Goldman Sachs Group Inc,,0000886982,2019-08-05
HD,Home Depot Inc,QEKMOTMBBKA8I816DO57,0000354950,2019-08-27
IBM,International Business Machines Corp,VGRQXHF3J8VDLUA7XE92,0000051143,2019-07-30
INTC,Intel Corp,KNX4USFCNGPY45LOCE31,0000050863,2019-07-26
JNJ,Johnson & Johnson,549300G0CFPGEF6X2043,0000200406,2019-07-29
JPM,JPMorgan Chase & Co,8I5DZWZKVSZI1NUHU748,0000019617,2019-08-06
KO,Coca-Cola Co,UWJKFUJFZ02DKWI3RY53,0000021344,2019-07-25
MCD,McDonald's Corp,UE2136O97NLB5BYP9H04,0000063908,2019-08-06
MMM,3M Co,LUZQVYP4VS22CLWDAR65,0000066740,2019-07-26
MRK,Merck & Co Inc,,0000310158,2019-08-06
MSFT,Microsoft Corp,INR2EJN1ERAN0W5ZP974,0000789019,2019-08-01
NKE,Nike Inc,787RXPR0UX0O0XUXPZ81,0000320187,2019-10-04
PFE,Pfizer Inc,765LHXWGK1KXCLTFYQ30,0000078003,2019-08-08
PG,Procter & Gamble Co,2572IBTT8CCZW6AU4141,0000080424,2019-08-06
TRV,Travelers Companies Inc,549300Y650407RU8B149,0000086312,2019-07-23
UNH,UnitedHealth Group Inc,549300GHBMY8T5GXDE41,0000731766,2019-08-07
UTX,United Technologies Corp,I07WOS4YJ0N7YRFE7309,0000101829,2019-07-26
V,Visa Inc,549300JZ4OKEHW3DPJ59,0001403161,2019-07-26
VZ,Verizon Communications Inc,2S72QS2UO2OESLG6Y829,0000732712,2019-08-08
WMT,Walmart Inc,Y87794H0US1R65VBXU25,0000104169,2019-09-06
XOM,Exxon Mobil Corp,J3WHBG0MTS7O8ZVMDC91,0000034088,2019-08-07
